59,131,602.32,111.48,44.789,109.24,1
59,137,219.5,638,41,100,1
59,216,583.33,120,273.33,666.67,1
59,217,583.33,120,273.33,666.67,1
59,217,854.62,280,63.077,153.85,1
59,218,692.77,454.24,139.35,339.88,1
59,218,473.73,162.5,256.89,626.57,1
59,219,675.12,98.701,106.6,260.01,1
59,219,543.5,638,41,100,1
59,219,805.38,353.85,63.077,153.85,1
59,220,654.31,119.48,106.6,260.01,1
59,222,430,581.54,63.077,153.85,1
59,224,454.62,403.08,63.077,153.85,1
59,225,501.84,644.81,44.789,109.24,1
59,226,498.86,625.97,53.3,130,1
59,237,517.89,635.29,68.997,168.29,1
59,239,514.02,620.18,75.336,183.75,1
59,240,398.43,162.5,256.89,626.57,1
59,241,475.22,333.33,195.59,477.04,1
59,242,475.22,314.29,195.59,477.04,1
59,243,521.38,612.84,75.336,183.75,1
59,247,181.05,561.34,68.997,168.29,1
59,249,447.66,454.24,139.35,339.88,1
59,250,449.09,429.09,149.09,363.64,1
59,252,510,587.69,63.077,153.85,1
59,264,494.33,295.24,195.59,477.04,1
59,265,396.67,146.67,273.33,666.67,1
59,266,583.5,622,41,100,1
59,267,555.5,642,41,100,1
59,268,554.84,276.92,211.1,514.87,1
59,269,558,296,164,400,1
59,269,594.94,612.84,75.336,183.75,1
59,270,551.64,314.29,195.59,477.04,1
59,270,482.16,182.61,177.66,433.32,0
59,272,536.09,605.5,75.336,183.75,1
59,272,494.33,180.95,195.59,477.04,1
59,273,548.67,405.67,58.092,141.69,1
59,274,534.05,252.17,177.66,433.32,1
59,276,494,184,164,400,1
59,277,543.01,400,58.092,141.69,1
59,278,526,280,164,400,1
59,282,551.35,339.13,177.66,433.32,1
59,283,579.5,638,41,100,1
59,284,532.54,295.24,195.59,477.04,1
59,285,423.53,187.5,256.89,626.57,1
59,285,585.95,339.13,177.66,433.32,0
59,286,431.43,217.14,234.29,571.43,1
59,286,551.35,339.13,177.66,433.32,0
59,289,582.46,512.68,115.24,281.08,1
59,290,580.23,466.06,75.336,183.75,1
59,291,551.38,316.67,48.788,118.99,1
59,293,610.97,195.74,58.092,141.69,1
59,294,776.22,95.652,177.66,433.32,1
59,294,574.12,137.5,256.89,626.57,1
59,295,530,120,273.33,666.67,1
59,295,779.5,234,41,100,0
59,296,396.67,120,273.33,666.67,1
59,296,621.4,14.815,304.61,742.94,1
59,297,583.33,120,273.33,666.67,1
59,297,418.84,561.75,44.789,109.24,1
59,298,623.64,429.09,149.09,363.64,1
59,298,998.37,667.53,53.3,130,1
59,299,926,392,164,400,1
59,303,606.69,439.34,44.789,109.24,1
59,304,924.88,535.06,106.6,260.01,1
59,305,939.32,578.26,89.208,217.58,1
59,306,934.93,557.14,97.8,238.54,1
59,307,948.03,569.57,89.208,217.58,1
59,308,933.33,605.5,75.336,183.75,1
59,309,956.73,578.26,89.208,217.58,1
59,310,841.64,607.14,48.788,118.99,1
59,311,766,392,164,400,1
59,311,750.85,688.52,44.789,109.24,1
59,317,219.5,638,41,100,1
59,322,215.5,638,41,100,1
59,339,215.5,638,41,100,1
59,351,753.43,557.14,97.8,238.54,1
59,380,602.32,111.48,44.789,109.24,1
59,383,561.86,14.815,304.61,742.94,1
59,384,583.33,120,273.33,666.67,1
59,385,473.73,162.5,256.89,626.57,1
59,385,583.33,120,273.33,666.67,0
59,386,663.08,55.385,126.15,307.69,1
59,386,366,376,164,400,1
59,387,669.39,143.48,89.208,217.58,1
59,388,675.12,98.701,106.6,260.01,1
59,389,723.5,222,41,100,1
